Model,Best_Threshold,Accuracy,Precision,Recall,F1,ROC_AUC
Random Forest,0.2,0.8605145149870191,0.23441108545034642,0.28116343490304707,0.25566750629722923,0.6684261982967848
XGBoost,0.6500000000000001,0.8568562662261033,0.25765054294175715,0.36149584487534625,0.30086455331412104,0.7262089811868763
Hybrid,0.5,0.8668869483124853,0.2703619909502262,0.33102493074792244,0.29763387297633875,0.7249738428685369
